image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_98c518ec93,camera:0,2026-06-10T10:46:13,motion_capture,data\raw_images\img_98c518ec93.jpg,data\processed_images\img_98c518ec93_processed_steps.jpg,640,480,106.88,processed,13.04,"motion_score=23974.0, threshold=25, min_area=800"
img_0c6df16fee,camera:0,2026-06-10T10:46:19,camera,data\raw_images\img_0c6df16fee.jpg,data\processed_images\img_0c6df16fee_processed_steps.jpg,640,480,105.96,processed,16.88,snapshot button
img_84e38cd5ec,camera:0,2026-06-10T10:46:21,motion_capture,data\raw_images\img_84e38cd5ec.jpg,data\processed_images\img_84e38cd5ec_processed_steps.jpg,640,360,233.69,processed,4.83,"motion_score=76241.0, threshold=25, min_area=800"
img_f26a8cf4d8,camera:0,2026-06-10T10:47:49,camera,data\raw_images\img_f26a8cf4d8.jpg,data\processed_images\img_f26a8cf4d8_processed_steps.jpg,640,480,95.32,processed,3.8,snapshot button
img_531203780d,camera:0,2026-06-10T10:57:32,camera,data\raw_images\img_531203780d.jpg,data\processed_images\img_531203780d_processed_steps.jpg,640,480,123.53,processed,31.07,snapshot button
img_221ccc5cc8,camera:0,2026-06-10T10:58:00,motion_capture,data\raw_images\img_221ccc5cc8.jpg,data\processed_images\img_221ccc5cc8_processed_steps.jpg,640,480,124.15,processed,12.3,"motion_score=21120.0, threshold=25, min_area=800"
img_6413342b86,camera:0,2026-06-10T10:58:08,motion_capture,data\raw_images\img_6413342b86.jpg,data\processed_images\img_6413342b86_processed_steps.jpg,640,360,233.51,processed,5.0,"motion_score=11104.0, threshold=25, min_area=800"
img_459e2ee842,camera:0,2026-06-10T10:58:16,motion_capture,data\raw_images\img_459e2ee842.jpg,data\processed_images\img_459e2ee842_processed_steps.jpg,640,480,117.59,processed,16.46,"motion_score=10496.0, threshold=25, min_area=800"
